username,verified,followersCount,content,date,country,replyCount,retweetCount,likeCount,url,hashtags
TyeSidney,False,204,"@davidgokhshtein Bitcoin, I watch it everyday!",2020-12-20 06:18:52+00:00,Mexico,0,0,0,https://twitter.com/TyeSidney/status/1340542163294236672,[]
saadsiddiquiiii,False,180,What a year it has been for #BTCUSD https://t.co/gp2haScSFA,2020-12-30 13:33:11+00:00,Argentina,0,0,0,https://twitter.com/saadsiddiquiiii/status/1344275341624356865,['BTCUSD']
presentlyMihai,False,800,"@MyCryptocurren1 @purely_crypto @Mikey1014G @NeerajKA @elonmusk @TonyRobbins The digital currency, Bitcoin, as made by Satoshi Nakamoto, works perfectly, instantly and with next to no fees.

(No, I'm not talking about Blockstream-coin BTC)",2020-12-30 01:21:45+00:00,Argentina,1,0,0,https://twitter.com/presentlyMihai/status/1344091269862219778,[]
_kyaaaa_,False,495,@theestallion pls send the Bitcoin 🥺🙏🏼,2020-12-18 01:28:07+00:00,United States,0,0,0,https://twitter.com/_kyaaaa_/status/1339744217762029568,[]
dr_orlovsky,False,4567,Developing stuff frequently require contributing to upstream opensource projects. That’s how during the work on @lnp_bp and #RGB I have suddenly become one of top contributors to rust-bitcoin (not accounting for yet unmerged PRs) https://t.co/50mOl4XtNF https://t.co/s9CTzPpqw0,2020-12-15 18:11:17+00:00,France,0,0,19,https://twitter.com/dr_orlovsky/status/1338909508765175812,['RGB']
alexmasterforex,False,685,BTCUSD long view 30000$ - #BTCUSD chart https://t.co/lroyPMA1CR,2020-12-30 18:44:16+00:00,Argentina,0,0,1,https://twitter.com/alexmasterforex/status/1344353627641561088,['BTCUSD']
brathalu,False,254,Really thinking about $eth... $btc is already moving very nicely ... I wonder where this thing can go!,2020-12-30 23:34:02+00:00,Argentina,0,0,0,https://twitter.com/brathalu/status/1344426551576842240,[]
RsrFren,False,7204,"Make your voice heard NOW! Go to the link and comment. Below in this thread is what I typed. Feel free to copy and paste or make it your own!

$RSR $BTC $ETH $LINK https://t.co/K44vmUSsiS",2020-12-30 23:39:05+00:00,Argentina,2,1,7,https://twitter.com/RsrFren/status/1344427819976302592,[]
lopp,True,386425,"Add this epic Bitcoin Obituary to the list, @99BitcoinsHQ 

Ray Dillinger has declared Bitcoin a failure. Ray was the 3rd person to respond to Satoshi Nakamoto's whitepaper announcement in 2008. His replies were explanations of why mining wouldn't work.

https://t.co/yUi0d0FLKv",2020-12-29 18:44:59+00:00,Argentina,14,10,80,https://twitter.com/lopp/status/1343991420722536449,[]
bhattidaud,False,7327,"https://t.co/yVgzCC0IZ6 &gt; Perfect rally from the blue box, very technical. Join us today with 2 Months for Price of 1 and learn to trade the Technical market and blue boxes. Click here: https://t.co/nEN62g9EYi #Elliottwave #Bitcoin #BTCUSD #Cryptocurrencies #Trading",2020-12-30 13:24:01+00:00,Argentina,0,0,0,https://twitter.com/bhattidaud/status/1344273036162330624,"['Elliottwave', 'Bitcoin', 'BTCUSD', 'Cryptocurrencies', 'Trading']"
